content,hashtag,user,timestamp
"Understanding  and  matters for , many lack basic , report researchers @Dr_AnnaLusardi @GWTweets and @OS_Mitchell @Wharton, via @StarTribune.",UPenn,Annamaria Lusardi,2023-05-05 19:01:30+00:00
"How Do You Make a  When Every Option Looks Bad?
@whartonknows",UPenn,ONSCREENinterpreters™,2023-05-05 19:01:00+00:00
"Download 619-page PDF —  in Economics, Business, Finance and Beyond: 
———",UPenn,Fawad,2023-05-05 19:00:32+00:00
"@algore White paper on ESG from Yale, Stanford, NYU, G'Town, UPenn: 
80% of ESG investors overly concerned/scared on climate.
U have ESG hedge fund &amp; are biggest climate catastrophizer on the planet.
Greenpeace founder (knows more science than you) disagrees w you",UPenn,"Mark Neuman, CFA",2023-05-05 18:53:42+00:00
"At this particular moment in time and space, there is no American university beating UPenn on this question.",UPenn,Colleen Wilson,2023-05-05 18:50:41+00:00
"Last week, our colleagues at @PennGlobal hosted the launch symposium for their Research and Engagement Grant Program! Read this @Penn_Today piece to learn more about Penn Global's new projects:",UPenn,Perry World House,2023-05-05 18:48:01+00:00
"The 2023 Race &amp; Sports event returned w/ thought-provoking discussions on gender, economics, &amp; more, featuring insights from sports analyst &amp; HBO host @bomani_jones in conversation w/ @Wharton's @kenshropshire.

@AfricanaUPenn",UPenn,Eric Bradlow,2023-05-05 18:45:41+00:00
"My cfp for the Young Adult Literature &amp; Culture panel
@PAMLAorg is up!  

October 26-29 in Portland, OR (in-person)  

@PAMLA conference theme: Shifting Perspectives",UPenn,Melanie A Marotta,2023-05-05 18:41:48+00:00
"@Yale @YaleMedicine How about for healthy young adults?

- Bivalent authorized only for emergency
- No RCT data prove benefit for previously-infected young adults
- No significant, durable transmission reduction

Yale's mandate is irrational and unethical

No mandates at Princeton MIT Stanford UPenn",UPenn,FluffyzMom,2023-05-05 18:37:22+00:00
"1) From a UPenn website, published 4/19/23, ""Critical ,"" a debate (or ) series at Penn.",UPenn,Ken C. Agron,2023-05-05 18:36:47+00:00
"@RutgersU Rutgers' COVID vaccine mandate is irrational and unethical

- No significant, durable transmission reduction
- Bivalent is authorized only for emergency (EUA)
- No RCT data prove benefit for previously-infected young adults

No more mandate at Yale Princeton MIT Stanford UPenn",UPenn,Bob P,2023-05-05 18:36:38+00:00
"@Harvard Harvard's COVID vaccine mandate is irrational and unethical

- No significant, durable transmission reduction
- Bivalent is authorized only for emergency (EUA)
- No RCT data prove benefit for previously-infected young adults

No more mandate at Yale Princeton MIT Stanford UPenn",UPenn,Bob P,2023-05-05 18:31:30+00:00
HPAP has now processed 150 cases - all data is freely shared in our database PANC-DB :,UPenn,Islet Biology Lab - UMH,2023-05-05 18:29:30+00:00
"@PittIMChiefs Pitt's COVID vaccine mandate is irrational and violates medical ethics

- No significant, durable transmission reduction
- Bivalent is authorized only for emergency (EUA)
- No RCT data prove benefit for previously-infected young adults

No more mandate at Yale Princeton MIT UPenn",UPenn,Bob P,2023-05-05 18:24:40+00:00
"Demand for diversity exceeds supply. In 2018 there were 6,351 seats at the top 7 law schools (Yale/Stanford/Harvard/Columbia/NYU/UPenn/Chicago).

590 African Americans scored &gt;160 on the LSAT.

These schools can't represent the pop w/o discounting  LSATs.",UPenn,rvalm,2023-05-05 18:24:11+00:00
"@PittTweet Pitt's COVID vaccine mandate is irrational and unethical

- No significant, durable transmission reduction
- Bivalent is authorized only for emergency (EUA)
- No RCT data prove benefit for previously-infected young adults

No more mandate at Yale Princeton MIT Stanford UPenn",UPenn,Bob P,2023-05-05 18:22:43+00:00
"In a Q&amp;A with Penn Engineering Today, Michael Posa of @PennEngineers discusses robotics in the age of artificial intelligence and his efforts to refine legged locomotion and manipulation.",UPenn,Penn,2023-05-05 18:15:02+00:00
Will you support @KristenHege who is raising funds &amp; hiking 2658 miles for early career women researching ? Read her amazing story: Pacific Crest Trail Thru Hiking Adventure,UPenn,Andrea,2023-05-05 18:05:29+00:00
"@BrownUniversity @CNNOpinion Brown's COVID vax mandate is irrational &amp; unethical

- No significant, durable transmission reduction
- Bivalent is authorized only for emergency (EUA)
- No RCT data prove benefit for previously-infected young adults

No more mandates at Yale Princeton UPenn Columbia Dart Cornell",UPenn,Bob P,2023-05-05 17:59:15+00:00
"@Tulane @TulaneSPHTM Why is there still a COVID vaccine mandate at Tulane?


Update your policy!

No more mandates at Yale Princeton MIT Stanford UChicago UPenn Duke Northwestern Dartmouth Vandy Rice WashU Cornell Emory Georgetown NYU USC WakeForest Tufts BC BU NEU etc etc",UPenn,Bob P,2023-05-05 17:52:47+00:00
"Would we say that firms can lie in their financial disclosures because they have a right to free speech?

If not, why would we accept greenwashing as free speech?",UPenn,Nicholas Poggioli,2023-05-05 17:44:17+00:00
"Two tutorials, six  exciting keynotes, 16 oral contributions and 100+ poster contributions at the  Learning for Dynamics and Control (L4DC 2023) conference.  Register early by May 15 at     @l4dc_conf  @NeurIPSConf",UPenn,George J. Pappas,2023-05-05 17:37:38+00:00
"When thinking about college applications, remember that some schools, like UPenn, use the Early Decision rounds to make up nearly half their class. The ED applicant pool is smaller than the RD pool, which can increase your chances of getting into your top choice.",UPenn,Aristotle Circle,2023-05-05 17:36:21+00:00
Congratulations to Paul Titchenell on his promotion to Associate Professor of Physiology with tenure!!!!  This milestone reflects the University’s recognition of Paul’s exceptional  research achievements and contributions to the academic enterprise.,UPenn,Phillip J White PhD,2023-05-05 17:32:57+00:00
"Meet Janeen Williams, Biddle's new Associate Director for Operation &amp; Strategy! 
🔗",UPenn,Biddle Law Library,2023-05-05 17:30:08+00:00
